Timestamp,Download (Mbps),Upload (Mbps)
2024-01-26T11:12:54,327.24,34.89
2024-01-26T11:14:16,348.43,35.58
2024-01-26T11:15:39,449.42,33.52
2024-01-26T11:17:02,270.3,35.55
2024-01-26T11:18:28,344.91,32.51
2024-01-26T11:19:51,439.36,31.87
2024-01-26T11:21:13,362.92,34.38
2024-01-26T11:22:37,325.11,35.29
2024-01-26T11:24:00,363.26,34.84
2024-01-26T11:25:24,364.14,32.62
2024-01-26T11:26:46,385.97,35.49
2024-01-26T11:28:11,264.56,34.37
2024-01-26T11:29:35,410.47,33.75
2024-01-26T11:30:59,326.31,34.38
2024-01-26T11:32:24,358.13,33.89
2024-01-26T11:33:44,485.97,34.77
2024-01-26T11:35:07,392.57,31.0
2024-01-26T11:36:32,276.19,14.58
2024-01-26T11:37:54,436.86,35.16
2024-01-26T11:39:18,423.43,34.04
2024-01-26T11:40:40,367.01,35.35
2024-01-26T11:42:04,323.2,35.73
2024-01-26T11:43:27,321.28,35.2
2024-01-26T11:44:52,275.12,32.86
2024-01-26T11:46:18,230.5,34.75
2024-01-26T11:47:43,281.25,34.94
2024-01-26T11:49:08,348.45,34.61
2024-01-26T11:50:31,456.76,33.23
2024-01-26T11:51:54,435.69,30.27
2024-01-26T11:53:19,298.39,33.05
2024-01-26T11:54:42,364.25,35.61
2024-01-26T11:56:04,390.2,34.52
2024-01-26T11:57:24,463.76,33.58
2024-01-26T11:58:46,380.65,34.88
2024-01-26T12:00:08,450.69,32.78
2024-01-26T12:01:33,225.18,34.92
2024-01-26T12:02:57,367.08,33.62
2024-01-26T12:04:23,236.97,34.64
2024-01-26T12:05:44,428.78,35.65
2024-01-26T12:07:05,479.0,35.59
2024-01-26T12:08:28,321.7,34.64
2024-01-26T12:09:54,308.3,34.79
2024-01-26T12:11:19,293.83,32.63
2024-01-26T12:12:41,420.85,34.53
2024-01-26T12:14:01,503.74,35.76
2024-01-26T12:15:25,389.43,33.14
2024-01-26T12:16:46,403.63,35.34
2024-01-26T12:18:08,424.4,34.54
2024-01-26T12:19:29,367.58,35.78
2024-01-26T12:20:52,426.27,33.7
2024-01-26T12:22:17,272.31,32.58
2024-01-26T12:23:38,381.18,35.5
2024-01-26T12:24:58,460.12,35.88
2024-01-26T12:26:18,439.31,33.28
2024-01-26T12:27:42,321.56,34.81
2024-01-26T12:29:05,316.35,34.71
2024-01-26T12:31:32,200.97,33.63
2024-01-26T12:32:56,318.9,35.12
2024-01-26T12:34:22,237.54,34.99
2024-01-26T12:35:48,258.83,34.81
2024-01-26T12:37:13,212.74,33.21
2024-01-26T12:38:36,342.19,34.97
2024-01-26T12:39:56,423.02,34.02
2024-01-26T12:41:21,236.34,34.85
2024-01-26T12:42:46,248.5,32.67
2024-01-26T12:44:08,425.37,33.06
2024-01-26T12:45:31,445.27,34.76
2024-01-26T12:46:56,416.1,33.69
2024-01-26T12:48:18,421.97,34.22
2024-01-26T12:49:39,455.77,34.79
2024-01-26T12:50:59,456.97,35.31
2024-01-26T12:52:24,280.96,33.42
2024-01-26T12:53:45,425.26,35.05
2024-01-26T12:55:10,357.6,34.77
2024-01-26T12:56:35,301.22,34.54
2024-01-26T12:58:00,315.78,31.19
2024-01-26T12:59:20,426.39,35.01
2024-01-26T13:00:41,439.93,34.34
2024-01-26T13:06:09,455.5,35.47
2024-01-26T13:07:36,432.26,34.72
2024-01-26T13:09:02,302.28,34.59
2024-01-26T13:10:24,342.31,35.08
2024-01-26T13:11:45,441.94,35.5
2024-01-26T13:13:05,501.23,33.68
2024-01-26T13:14:28,400.47,33.63
2024-01-26T13:15:53,238.11,35.09
2024-01-26T13:17:16,449.79,33.19
2024-01-26T13:18:36,470.55,35.76
2024-01-26T13:20:02,314.01,15.19
2024-01-26T13:21:27,328.99,34.82
2024-01-26T13:22:52,163.04,34.39
2024-01-26T13:24:13,388.47,34.75
2024-01-26T13:25:33,418.28,34.25
2024-01-26T13:26:55,383.08,34.28
2024-01-26T13:28:18,396.3,33.73
2024-01-26T13:29:41,371.08,35.31
2024-01-26T13:31:01,504.31,35.58
2024-01-26T13:32:23,347.2,35.58
2024-01-26T13:33:48,336.26,34.62
2024-01-26T13:35:13,305.44,33.66
2024-01-26T13:36:37,387.17,34.07
2024-01-26T13:37:56,492.8,34.41
2024-01-26T13:39:21,249.17,33.75
2024-01-26T13:40:47,291.52,32.8
2024-01-26T13:42:08,423.36,35.62
2024-01-26T13:43:29,405.12,35.25
2024-01-26T13:44:50,392.06,34.58
2024-01-26T13:46:15,292.16,34.12
2024-01-26T13:47:40,282.45,32.76
2024-01-26T13:49:05,245.41,34.8
2024-01-26T13:50:26,465.97,34.13
2024-01-26T13:51:51,294.95,34.84
2024-01-26T13:53:16,293.12,34.65
2024-01-26T13:54:42,309.9,33.96
2024-01-26T13:56:04,418.7,27.5
2024-01-26T13:57:25,454.84,35.03
2024-01-26T13:58:50,297.08,34.94
2024-01-26T14:00:15,146.86,34.91
2024-01-26T14:05:40,406.52,34.81
2024-01-26T14:07:06,284.85,34.66
2024-01-26T14:08:30,294.61,34.47
2024-01-26T14:09:56,270.27,32.53
2024-01-26T14:11:21,285.55,13.14
2024-01-26T14:12:45,362.16,32.8
2024-01-26T14:14:11,275.0,29.48
